State Full Name,Republican Party,Democratic Party,,,,
Indiana,0.685783,0.314217,,,,
Florida,0.630126,0.369874,,,,
North Carolina,0.533967,0.466033,,,,
Alabama,0.782115,0.217885,,,,
Massachusetts,0.262013,0.737987,,,,
Rhode Island,0.363128,0.636872,,,,
Arizona,0.562161,0.437839,,,,
New York,0.384936,0.615064,,,,
Idaho,0.828954,0.171046,,,,
Utah,0.706825,0.293175,,,,
Kentucky,0.784219,0.215781,,,,
Georgia,0.522422,0.477578,,,,
Connecticut,0.354527,0.645473,,,,
Michigan,0.514579,0.485421,,,,
South Dakota,0.774388,0.225612,,,,
Kansas,0.660044,0.339956,,,,
Colorado,0.387071,0.612929,,,,
North Dakota,0.828326,0.171674,,,,
Iowa,0.63236,0.36764,,,,
Hawaii,0.276611,0.723389,,,,
New Hampshire,0.468637,0.531363,,,,
West Virginia,0.863382,0.136618,,,,
Delaware,0.356809,0.643191,,,,
Mississippi,0.724405,0.275595,,,,
Tennessee,0.777882,0.222118,,,,
Oklahoma,0.811434,0.188566,,,,
Louisiana,0.713083,0.286917,,,,
Wisconsin,0.509357,0.490643,,,,
Montana,0.696285,0.303715,,,,
Alaska,0.653695,0.346305,,,,
South Carolina,0.672466,0.327534,,,,
Ohio,0.612366,0.387634,,,,
"Washington, D.C.",0.005294,0.994706,,,,
Missouri,0.655483,0.344517,,,,
Texas,0.640908,0.359092,,,,
Maine,0.410467,0.589533,,,,
Minnesota,0.455344,0.544656,,,,
Wyoming,0.87369,0.12631,,,,
Nevada,0.534735,0.465265,,,,
California,0.314706,0.685294,,,,
Vermont,0.203614,0.796386,,,,
Virginia,0.448131,0.551869,,,,
Illinois,0.419192,0.580808,,,,
New Jersey,0.451392,0.548608,,,,
Maryland,0.281489,0.718511,,,,
Pennsylvania,0.534676,0.465324,,,,
Arkansas,0.785786,0.214214,,,,
Nebraska,0.645178,0.354822,,,,
New Mexico,0.448675,0.551325,,,,
Oregon,0.368841,0.631159,,,,
Washington,0.307941,0.692059,,,,
